"Easting","Northing","ICS_max","Date"
231500,610000,0.0274336185568162,"1995-03-01"
231500,610500,0.0224791779361056,"1995-03-01"
231500,611000,0.0115341314424556,"1995-03-01"
231500,611500,0.00080752827164964,"1995-03-01"
231500,612000,0.000741015262144207,"1995-03-01"
231500,612500,0.00062831019835651,"1995-03-01"
231500,613000,0,"1995-03-01"
231500,613500,0,"1995-03-01"
231500,614000,0,"1995-03-01"
231500,614500,0,"1995-03-01"
231500,615000,0,"1995-03-01"
231500,615500,0,"1995-03-01"
232000,571000,0,"1995-03-01"
232000,571500,0,"1995-03-01"
232000,572000,0,"1995-03-01"
232000,572500,0,"1995-03-01"
232000,573000,0,"1995-03-01"
232000,573500,0,"1995-03-01"
232000,574000,0,"1995-03-01"
232000,574500,0,"1995-03-01"
232000,575000,0,"1995-03-01"
232000,575500,0,"1995-03-01"
232000,576000,0.0153366004159096,"1995-03-01"
232000,576500,0.0194448638575599,"1995-03-01"
232000,577000,0.0186553991403093,"1995-03-01"
232000,577500,0.0177812736376111,"1995-03-01"
232000,578000,0,"1995-03-01"
232000,578500,0,"1995-03-01"
232000,579000,0,"1995-03-01"
232000,579500,0,"1995-03-01"
232000,580000,0,"1995-03-01"
232000,580500,0,"1995-03-01"
232000,581000,0,"1995-03-01"
232000,581500,0,"1995-03-01"
232000,582000,0,"1995-03-01"
232000,582500,0,"1995-03-01"
232000,583000,0.0114339691166598,"1995-03-01"
232000,583500,0,"1995-03-01"
232000,584000,0,"1995-03-01"
232000,584500,0,"1995-03-01"
232000,585000,0,"1995-03-01"
232000,585500,0,"1995-03-01"
232000,586000,0,"1995-03-01"
232000,586500,0,"1995-03-01"
232000,587000,0.0224391075475112,"1995-03-01"
232000,587500,0.0250401592068504,"1995-03-01"
232000,588000,0.0276631721238849,"1995-03-01"
232000,588500,0.0452552330713034,"1995-03-01"
232000,594500,0,"1995-03-01"
232000,595000,0,"1995-03-01"
232000,595500,0.0570492532822754,"1995-03-01"
232000,596000,0.0576260176522056,"1995-03-01"
