"","Datetime","Easting","Northing","Depth","Magnitude","Date"
"354","30/04/2004 22:12:44",243444,583395,3,0.505549,"2004-04-30"
"355","24/05/2004 05:03:13",230839,592066,3,1.36125,"2004-05-24"
"356","29/05/2004 21:06:42",229731,591863,3,0.842372,"2004-05-29"
"357","31/05/2004 00:59:20",230389,592411,3,0.283515,"2004-05-31"
"358","10/06/2004 01:13:27",239900,601216,3,2.14504,"2004-06-10"
"359","21/06/2004 23:32:03",234394,551422,3,2.78339,"2004-06-21"
"360","27/07/2004 22:49:46",254089,596237,3,1.15971,"2004-07-27"
"361","21/08/2004 01:06:33",249041,576117,3,1.79544,"2004-08-21"
"362","22/08/2004 02:56:01",235511,551663,3,0.992062,"2004-08-22"
"363","06/09/2004 20:31:20",266938,539819,2,1,"2004-09-06"
"364","10/09/2004 01:56:45",240991,564874,3,0.430451,"2004-09-10"
"365","18/09/2004 03:33:12",242509,604065,3,1.1795,"2004-09-18"
"366","22/09/2004 12:44:33",245387,592503,3,1.54218,"2004-09-22"
"367","08/10/2004 13:23:43",251911,566434,2,1.26778,"2004-10-08"
"368","30/10/2004 11:40:53",247624,597537,3,1.35683,"2004-10-30"
