#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
NL|BOWW||HGE|53.34053|6.8125|1.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-10-01T00:00:00|2599-12-31T23:59:59
NL|BOWW||HGN|53.34053|6.8125|1.0|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-10-01T00:00:00|2599-12-31T23:59:59
NL|BOWW||HGZ|53.34053|6.8125|1.0|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-10-01T00:00:00|2599-12-31T23:59:59
NL|BRSW||HGE|52.842316|7.032279|12.5|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2019-02-28T00:00:00|2599-12-31T23:59:59
NL|BRSW||HGN|52.842316|7.032279|12.5|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2019-02-28T00:00:00|2599-12-31T23:59:59
NL|BRSW||HGZ|52.842316|7.032279|12.5|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|200.0|2019-02-28T00:00:00|2599-12-31T23:59:59
NL|BRTL||HG1|53.237996|6.393218|-0.1|0.0|0.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2022-05-20T00:00:00|2599-12-31T23:59:59
NL|BRTL||HG2|53.237996|6.393218|-0.1|0.0|90.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2022-05-20T00:00:00|2599-12-31T23:59:59
NL|BRTL||HGZ|53.237996|6.393218|-0.1|0.0|0.0|-90.0|EpiS|427819.209|1.0|M/S**2|200.0|2022-05-20T00:00:00|2599-12-31T23:59:59
NL|BSTD||HGE|53.312297|6.692137|1.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2014-09-17T00:00:00|2015-06-11T00:00:00
NL|BSTD||HGE|53.312297|6.692137|1.0|0.0|90.0|0.0|EpiS|1710939.813|1.0|M/S**2|100.0|2015-06-11T00:00:00|2015-10-07T12:25:00
