"","X.1","X","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year"
"110",3168,"NL","BWIR","HGE",53.32257,6.7861,"2013-09-24T00:00:00","2599-12-31T23:59:59",248213.3896,593808.3977,"E","2013","2599"
"111",3171,"NL","BWSE","HGE",53.34442,6.70989,"2013-04-24T00:00:00","2599-12-31T23:59:59",243090.9595,596143.8737,"E","2013","2599"
"112",3174,"NL","BZN1","HGE",53.36567,6.77512,"2013-10-24T00:00:00","2017-01-01T00:00:00",247389.306,598590.4013,"E","2013","2017"
"113",3175,"NL","BZN1","HGE",53.36567,6.77512,"2017-01-01T00:00:00","2017-12-15T09:03:00",247389.306,598590.4013,"E","2017","2017"
"114",3176,"NL","BZN1","HGE",53.36567,6.77512,"2017-12-15T09:03:00","2019-03-02T00:00:00",247389.306,598590.4013,"E","2017","2019"
"115",3183,"NL","BZN2","HGE",53.35683,6.75474,"2013-09-23T00:00:00","2020-06-01T00:00:00",246051.4828,597580.6998,"E","2013","2020"
"116",4617,"NL","G710","HGE",53.148299,6.650657,"2017-12-04T00:00:00","2018-01-29T13:10:00",239529.2655,574248.8659,"E","2017","2018"
"117",4675,"NL","G81B","LCE",53.31035,6.677621,"2018-08-29T00:00:00","2599-12-31T23:59:59",241009.9847,592313.4984,"E","2018","2599"
"118",4699,"NL","G82B","LCE",53.22525,6.724121,"2018-08-14T00:00:00","2599-12-31T23:59:59",244284.9563,582900.2906,"E","2018","2599"
"119",4723,"NL","G83B","LCE",53.14844,6.930871,"2018-08-14T00:00:00","2599-12-31T23:59:59",258274.3922,574629.7178,"E","2018","2599"
"120",4747,"NL","G84B","LCE",53.220726,7.038012,"2018-08-14T00:00:00","2599-12-31T23:59:59",265257.161,582831.7239,"E","2018","2599"
"121",4854,"NL","HLB","EHE",53.14647,7.003581,"2018-09-01T00:00:00","2599-12-31T23:59:59",263143.1988,574517.1847,"E","2018","2599"
"122",4857,"NL","HLB","EPE",53.14647,7.003581,"2018-09-01T00:00:00","2599-12-31T23:59:59",263143.1988,574517.1847,"E","2018","2599"
"123",4860,"NL","HLG","EHE",53.149107,7.0071,"2018-09-01T00:00:00","2599-12-31T23:59:59",263372.0119,574815.884,"E","2018","2599"
"124",4863,"NL","HLG","EPE",53.149107,7.0071,"2018-09-01T00:00:00","2599-12-31T23:59:59",263372.0119,574815.884,"E","2018","2599"
"125",4866,"NL","HLH","EHE",53.140398,7.00655,"2018-09-01T00:00:00","2599-12-31T23:59:59",263357,573846.0292,"E","2018","2599"
"126",4869,"NL","HLH","EPE",53.140398,7.00655,"2018-09-01T00:00:00","2599-12-31T23:59:59",263357,573846.0292,"E","2018","2599"
"127",4872,"NL","HLK","EHE",53.144981,7.009606,"2018-09-01T00:00:00","2599-12-31T23:59:59",263549.9829,574360.5666,"E","2018","2599"
"128",4875,"NL","HLK","EPE",53.144981,7.009606,"2018-09-01T00:00:00","2599-12-31T23:59:59",263549.9829,574360.5666,"E","2018","2599"
"129",5435,"NL","SPY1","HHE",53.4098,6.7838,"2010-07-08T00:00:00","2016-06-14T11:00:00",247871.7147,603512.4348,"E","2010","2016"
"130",5438,"NL","SPY1","HHE",53.4098,6.7838,"2016-06-14T11:00:00","2599-12-31T23:59:59",247871.7147,603512.4348,"E","2016","2599"
"131",5441,"NL","SPY2","HHE",53.4098,6.7838,"2010-07-08T00:00:00","2016-06-14T11:00:00",247871.7147,603512.4348,"E","2010","2016"
"132",5444,"NL","SPY2","HHE",53.4098,6.7838,"2016-06-14T11:00:00","2599-12-31T23:59:59",247871.7147,603512.4348,"E","2016","2599"
"133",5447,"NL","SPY3","HHE",53.4098,6.7838,"2010-07-08T00:00:00","2016-06-14T11:00:00",247871.7147,603512.4348,"E","2010","2016"
"134",5450,"NL","SPY3","HHE",53.4098,6.7838,"2016-06-14T11:00:00","2599-12-31T23:59:59",247871.7147,603512.4348,"E","2016","2599"
"135",5453,"NL","SPY4","HHE",53.4098,6.7838,"2010-07-08T00:00:00","2016-06-14T11:00:00",247871.7147,603512.4348,"E","2010","2016"
"136",5456,"NL","SPY4","HHE",53.4098,6.7838,"2016-06-14T11:00:00","2599-12-31T23:59:59",247871.7147,603512.4348,"E","2016","2599"
"137",5762,"NL","WDB1","HHE",53.2083,6.7355,"1995-04-12T00:00:00","2010-04-29T00:00:00",245080.1446,581028.328,"E","1995","2010"
"138",5765,"NL","WDB1","HHE",53.2083,6.7355,"2010-04-29T00:00:00","2016-06-14T14:00:00",245080.1446,581028.328,"E","2010","2016"
"139",5768,"NL","WDB1","HHE",53.2083,6.7355,"2016-06-14T14:00:00","2599-12-31T23:59:59",245080.1446,581028.328,"E","2016","2599"
"140",5771,"NL","WDB2","HHE",53.2083,6.7355,"1995-04-12T00:00:00","2010-04-29T00:00:00",245080.1446,581028.328,"E","1995","2010"
"141",5774,"NL","WDB2","HHE",53.2083,6.7355,"2010-04-29T00:00:00","2016-06-14T14:00:00",245080.1446,581028.328,"E","2010","2016"
"142",5777,"NL","WDB2","HHE",53.2083,6.7355,"2016-06-14T14:00:00","2599-12-31T23:59:59",245080.1446,581028.328,"E","2016","2599"
"143",5780,"NL","WDB3","HHE",53.2083,6.7355,"1995-04-12T00:00:00","2010-04-29T00:00:00",245080.1446,581028.328,"E","1995","2010"
"144",5783,"NL","WDB3","HHE",53.2083,6.7355,"2010-04-29T00:00:00","2016-06-14T14:00:00",245080.1446,581028.328,"E","2010","2016"
"145",5786,"NL","WDB3","HHE",53.2083,6.7355,"2016-06-14T14:00:00","2599-12-31T23:59:59",245080.1446,581028.328,"E","2016","2599"
"146",5789,"NL","WDB4","HHE",53.2083,6.7355,"1995-04-12T00:00:00","2010-04-29T00:00:00",245080.1446,581028.328,"E","1995","2010"
"147",5792,"NL","WDB4","HHE",53.2083,6.7355,"2010-04-29T00:00:00","2016-06-14T14:00:00",245080.1446,581028.328,"E","2010","2016"
"148",5795,"NL","WDB4","HHE",53.2083,6.7355,"2016-06-14T14:00:00","2599-12-31T23:59:59",245080.1446,581028.328,"E","2016","2599"
"149",5953,"NL","ZL21","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2009-04-10T00:00:00",246514.427,568120.7746,"E","1995","2009"
"150",5956,"NL","ZL21","HHE",53.0921,6.7533,"2009-04-10T00:00:00","2014-08-14T00:00:00",246514.427,568120.7746,"E","2009","2014"
"151",5959,"NL","ZL21","HHE",53.0921,6.7533,"2014-08-14T00:00:00","2014-09-23T00:00:00",246514.427,568120.7746,"E","2014","2014"
"152",5962,"NL","ZL21","HHE",53.0921,6.7533,"2014-09-23T00:00:00","2599-12-31T23:59:59",246514.427,568120.7746,"E","2014","2599"
"153",5965,"NL","ZL22","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2009-04-10T00:00:00",246514.427,568120.7746,"E","1995","2009"
"154",5968,"NL","ZL22","HHE",53.0921,6.7533,"2009-04-10T00:00:00","2014-08-14T00:00:00",246514.427,568120.7746,"E","2009","2014"
"155",5971,"NL","ZL22","HHE",53.0921,6.7533,"2014-08-14T00:00:00","2014-09-23T00:00:00",246514.427,568120.7746,"E","2014","2014"
"156",5974,"NL","ZL22","HHE",53.0921,6.7533,"2014-09-23T00:00:00","2599-12-31T23:59:59",246514.427,568120.7746,"E","2014","2599"
"157",5977,"NL","ZL23","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2009-04-10T00:00:00",246514.427,568120.7746,"E","1995","2009"
